№,Кадастровый номер,Наименование объекта,Район города,Адрес,Правоустанавливающий документ,Дата начала,Дата окончания,Наименование генерального подрядчика,Общая площадь,Дата предоставления отчета инвестором,Состояние дел на объекте,Тип строительства
78,78:12:0006305:5482,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОТДЕЛЕНИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ НА 20 БРИГАД ДЛЯ СПБ ГБУЗ «ГОРОДСКАЯ ПОЛИКЛИНИКА № 8» ПО АДРЕСУ: УЛ. КРЫЛЕНКО, УЧАСТОК 1 (СЕВЕРО-ВОСТОЧНЕЕ ДОМА 45, КОРП. 1, ЛИТЕРА А ПО УЛ. КРЫЛЕНКО)",НЕВСКИЙ,"Санкт-Петербург, ул. Крыленко, участок 1 (северо-восточнее дома 45, корп. 1, литера А по ул. Крыленко)",Договор безвозмездного пользования №13/ЗБ-06241 от 07.12.2020 (ФКСР),26.07.2021,31.07.2022,"ООО ""ПРОСПЕРИТИ""","1 522,00",-,Устройство плиты перекрытия. Устройство ростверков. Устройство кольцевого дренажа. Гидроизоляция стен цокольного этажа.,СМР
79,78:34:0415902:10796,"СТРОИТЕЛЬСТВО ЗДАНИЯ ПОЛИКЛИНИКИ, ТУРИСТСКАЯ УЛ., УЧАСТОК 17",ПРИМОРСКИЙ,"Санкт-Петербург, Туристская ул., участок 17 (юго-западнее пересечения
с ул. Оптиков (СПЧ, кв. 59А, корп. 33)",Договор безвозмездного пользования №17/ЗБ-07161 от 26.11.2018 (ФКСР),24.06.2021,30.11.2023,"ООО ""СУАР-Групп""",10867.16,-,Подготовка к откопке котлована,СМР
80,78:38:1120301:1007,"РЕКОНСТРУКЦИЯ  ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ № 434 КУРОРТНОГО РАЙОНА, Г. СЕСТРОРЕЦК, УЛ. МОСИНА, Д.63, ЛИТЕРА А",КУРОРТНЫЙ,"Г. СЕСТРОРЕЦК, УЛ. МОСИНА, Д.63, ЛИТЕРА А",свидетельство от 25.03.2014 №78-АЗ 263119,28.10.2014,30.07.2021,"ООО ""СТРОЙСИНДИКАТ""",2589.0,-,объект введен,Разрешение на ввод от 08.09.2021              №78-10-20-2021
81,78:37:1720103:5,"СТРОИТЕЛЬСТВО НОВОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ: КОЛПИНО, ТВЕРСКАЯ УЛ., Д.13",КОЛПИНСКИЙ,"Г. КОЛПИНО, ТВЕРСКАЯ УЛ., ДОМ 13, ЛИТЕРА А","Государственное бюджетное общеобразовательное учреждение средняя
общеобразовательная школа №455 с углублённым изучением английского языка
Колпинского района Санкт-Петербурга",05.04.2021,30.06.2023,"ООО ""СУАР-Групп""",18 470.00,-,"Устройство стен подвала, 1 и 2-го этажей. Подготовка к устройству лестничных маршей. Монолитные работы устройство плиты перекрытия третьего этажа.  Устройство внутренних сетей водоснабжения и канализации.",СМР
82,78:38:0022448:5,"СТРОИТЕЛЬСТВО ЗДАНИЯ ГБОУ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЛЯ ДЕТЕЙ ПО АДРЕСУ: ГОРОД ЗЕЛЕНОГОРСК, КОМСОМОЛЬСКАЯ УЛИЦА, УЧ. 1",КУРОРТНЫЙ,"Г. ЗЕЛЕНОГОРСК, КОМСОМОЛЬСКАЯ УЛИЦА, УЧАСТОК 1",Договор безвозмездного пользования № 22/ЗБ-04744 от 10.02.2020 (ФКСР),20.04.2021,30.06.2023,"ООО ""Апекс""",4549.6,-,Армирование стен техподполья. Демонта/монтаж оаплубки стен на захватке 11-12.,СМР
83,78:11:005609:1046,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ НА 1000 МЕСТ МУРИНСКАЯ ДОРОГА, УЧАСТОК 10 ФЗУ № 35 (1000 МЕСТ)",КАЛИНИНСКИЙ,"Санкт-Петербург, Муринская дорога, участок 10",Договор безвозмездного пользования № 07/ЗБ-05965 от 07.12.2020 (ФКСР),28.06.2021,31.08.2023,"ООО ""СУАР-Групп""","7 858,10",-,"1. Армирование стен, колонн, перекрытий блок 1.
2. Армирование фундаментной плиты блок 2.        3. Армирование стен, колонн, перекрытий блок 3.        4. Армирование стен, колонн, перекрытий. Устройство фундамента башенного крана блок 4.",СМР
84,78:12:0631901:11198,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ДАЛЬНЕВОСТОЧНЫЙ ПРОСПЕКТ, УЧАСТОК 67 (СЕВЕРО-ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С УЛИЦЕЙ ЕРЕМЕЕВА) (825 МЕСТ)",НЕВСКИЙ,"Санкт-Петербург, Дальневосточный проспект, участок 67",,19.07.2021,30.06.2023,"ООО ""СУ-17""",7 800.00,-,"1. Устройство перекрытия цокольного этажа блок А
2. Бетонирование стен цокольного этажа блок Б   3. Армирование стен цокольного этажа блок В",СМР
85,78:14:0769203:4530,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ КОСМОНАВТОВ, УЧАСТОК 14 (ТЕРРИТОРИЯ КВАРТАЛА 15, ВОСТОЧНЕЕ ПРОСПЕКТА ЮРИЯ ГАГАРИНА; ФЗУ № 13) (1100 МЕСТ)",МОСКОВСКИЙ,"Санкт-Петербург, проспект Космонавтов, участок 14",,19.07.2021,30.06.2023,"ООО ""СУ-17""",7 533.00,-,"Установка тнжекто-системы в осях Р/30-43 на отм. -3,560. Вязка арматуры 5-го отсека в осях 23-29/Н-Ш на отметке.-4, 160. Выемка грунта с котлована 1-го отсека.",СМР
86,78:37:17111В:5,"РЕКОНСТРУКЦИЯ ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ (ДОУ) ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, Г. КОЛПИНО, ПАВЛОВСКАЯ УЛ., Д. 31, ЛИТ. А (190 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ РД",КОЛПИНСКИЙ,"Санкт-Петербург, г. Колпино, Павловская ул., д. 31, лит А",,16.08.2021,31.07.2023,"ООО ""СУ-17""",4261.37,-,Перепроектирование объекта,Реконструкция
87,78:34:0415601:30,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ СПЧ, КВАРТАЛ 56АБ, КОРП.43",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ,СЕВЕРО-ПРИМОРСКАЯ ЧАСТЬ, КВАРТАЛ 56АБ, КОРП.43",№17/ЗБ-07186 от 26.11.2018,07.05.2021,25.06.2022,"ООО ""СУАР-Групп""",3585.0,-,"Устройство вентиляции , дымоудаления, системы отопления,  монтаж ХГВС
Устройство фасада Устройство крылец",СМР
88,78:34:0004281:42,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ, САНКТ-ПЕТЕРБУРГ, ШУВАЛОВСКИЙ ПРОСПЕКТ,  УЧАСТОК 104, (ЮЖНАЯ ЧАСТЬ КВАРТАЛА 75А РАЙОНА КАМЕНКА) (550 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, ШУВАЛОВСКИЙ ПРОСПЕКТ,  УЧАСТОК 104, (ЮЖНАЯ ЧАСТЬ КВАРТАЛА 75А РАЙОНА КАМЕНКА)",№ 17/ЗБ-07471,18.10.2017,Получено разрешение на ввод от 18.08.2021,ООО «ЭЛИНАЛЬФА».,3906.0,-,Получено разрешение на ввод от 18.08.2021,СМР
89,78:12:0631901:11201,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ДАЛЬНЕВОСТОЧНЫЙ ПРОСПЕКТ, УЧАСТОК 1, (ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С УЛИЦЕЙ ЕРЕМЕЕВА)/СЕВЕРНЕЕ УЛИЦЫ НОВОСЕЛОВ, КВАРТАЛ 16,  УЧАСТОК 10 (825 МЕСТ)",НЕВСКИЙ,"САНКТ-ПЕТЕРБУРГ, ДАЛЬНЕВОСТОЧНЫЙ ПРОСПЕКТ, УЧАСТОК 1, (ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С УЛИЦЕЙ ЕРЕМЕЕВА)/СЕВЕРНЕЕ УЛИЦЫ НОВОСЕЛОВ, КВАРТАЛ 16,  УЧАСТОК 10",№17/ЗБС-10320,09.10.2017,Получено разрешение на ввод от 17.07.2020,"АО ""СТРОЙИНВЕСТ""",5811.0,-,Получено разрешение на ввод от 17.07.2020,
90,78:34:0415601:27,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ, СЕВЕРО-ПРИМОРСКАЯ ЧАСТЬ, КВАРТАЛ 56АБ, КОРП.39 (550 МЕСТ)",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, СЕВЕРО-ПРИМОРСКАЯ ЧАСТЬ, КВАРТАЛ 56АБ, КОРП.39",№17/ЗБ-07199 от 22.01.2019,08.10.2014,30.06.2022,ЗП на завершение СМР,4629.6,-,СМР приостановлены. Контракт расторгнут 10.01.2022.,СМР
91,78:15:0008223:10,"РЕКОНСТРУКЦИЯ ЗДАНИЯ САНКТ-ПЕТЕРБУРГСКОГО  ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ"" ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, КРОНШТАДТСКАЯ УЛИЦА,  ДОМ  15, ЛИТЕРА А  (1 ЭТАП) (КРОНШТАДТСКАЯ УЛ., Д.15, ЛИТЕРА А, КРОНШТАДТСКАЯ УЛ., Д.5, ЛИТЕРЫ А, Б, Д)",КИРОВСКИЙ,"САНКТ-ПЕТЕРБУРГ, КРОНШТАДТСКАЯ УЛИЦА,  ДОМ  15, ЛИТЕРА А  (1 ЭТАП) (КРОНШТАДТСКАЯ УЛ., Д.15, ЛИТЕРА А, КРОНШТАДТСКАЯ УЛ., Д.5, ЛИТЕРЫ А, Б, Д)",свидетельство от 25.12.2013 №78-АЗ 242234,12.12.2019,Получено разрешение на ввод 27.12.2021,"ООО ""НОРД-СТРОЙ""",5311.0,-,Получено разрешение на ввод 27.12.2021,СМР
92,,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ, ШУВАЛОВО-ОЗЕРКИ, КВАРТАЛ 25А (550 МЕСТ)",ВЫБОРГСКИЙ,,,,Получено разрешение на ввод от 19.07.2019,"ООО ""НОРД-СТРОЙ""",,,Получено разрешение на ввод от 19.07.2019,
93,,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ПР. КОСМОНАВТОВ, УЧАСТОК 1 (НАПРОТИВ ДОМА № 58, ЛИТЕРА А, ПО ПР. КОСМОНАВТОВ), КВАРТАЛ 10 РАЙОНА ВОСТОЧНЕЕ ПРОСПЕКТА ЮРИЯ ГАГАРИНА (825 МЕСТ)",МОСКОВСКИЙ,,,,Получено разрешение на ввод от 15.08.2019,"АО ""ЭТАЛОН-ЛЕНСПЕЦСМУ""",,,Получено разрешение на ввод от 15.08.2019,
94,78:12:0630901:5999,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ПО АДРЕСУ: НЕРЧИНСКАЯ УЛ., УЧАСТОК 1 (НАПРОТИВ ДОМА № 14, ЛИТЕРА А  ПО ДАЛЬНЕВОСТОЧНОМУ ПР.) / СЕВЕРНЕЕ УЛИЦЫ НОВОСЕЛОВ, КВАРТАЛ 9А, УЧАСТОК 3 (825 МЕСТ)",НЕВСКИЙ,"САНКТ-ПЕТЕРБУРГ, НЕРЧИНСКАЯ УЛ., УЧАСТОК 1 (НАПРОТИВ ДОМА № 14, ЛИТЕРА А  ПО ДАЛЬНЕВОСТОЧНОМУ ПР.)",№13/ЗБС- 10258,05.06.2017,Получено разрешение на ввод от 07.08.2020,"ООО ""СОВРЕМЕННЫЕ МОНОЛИТНЫЕ КОНСТРУКЦИИ""",5811.0,-,Получено разрешение на ввод от 07.08.2020,СМР
95,,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ЮЖНОЕ ШОССЕ, УЧАСТОК 9 (ЮГО-ЗАПАДНЕЕ ДОМА 55, ЛИТЕРА Д ПО ЮЖНОМУ ШОССЕ), ЮЖНОЕ ШОССЕ,  УЧАСТОК 9 (ЮГО-ЗАПАДНЕЕ ДОМА № 55, ЛИТЕРА Д ПО ЮЖНОМУ ШОССЕ) (825 МЕСТ)",ФРУНЗЕНСКИЙ,,,,Получено разрешение на ввод от 19.12.2019,"ЗАО ""ТРЕСТ 101""",,-,Получено разрешение на ввод от 19.12.2019,
96,,"СТРОИТЕЛЬСТВО ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ, ПОС. МЕТАЛЛОСТРОЙ,  КВАРТАЛ 2А, УЧАСТОК 10 (550 МЕСТ)",КОЛПИНСКИЙ,,,,Получено разрешение на ввод от 29.08.2019,"ООО ""СТРОЙСИНДИКАТ""",,-,Получено разрешение на ввод от 29.08.2019,
