№,Кадастровый номер,Наименование объекта,Район города,Адрес,Правоустанавливающий документ,Дата начала,Дата окончания,Наименование генерального подрядчика,Общая площадь,Дата предоставления отчета инвестором,Состояние дел на объекте,Тип строительства
97,78:42:1811610:8-Церковная,"РЕКОНСТРУКЦИЯ ЗДАНИЙ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ГИМНАЗИИ № 406 ПУШКИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ПО АДРЕСАМ: Г. ПУШКИН, ЛЕОНТЬЕВСКАЯ УЛ., Д. 10, ЛИТЕРА А (500 МЕСТ); ЦЕРКОВНАЯ УЛ., Д. 16, ЛИТЕРА А (308 МЕСТ)",ПУШКИНСКИЙ,"Г. ПУШКИН, ЛЕОНТЬЕВСКАЯ УЛ., Д. 10, ЛИТЕРА А; ЦЕРКОВНАЯ УЛ., Д. 16, ЛИТЕРА А","свидетельство от 06.10.2012 №78-78-06/035/2012-447 Церковная
свидетельство от 06.09.2007 №78-78-06/015/2007-326 Леонтьевская",,"Получено разрешение на ввод от 28.08.2020 (Леонтьевская)

Получено разрешение на ввод от 31.08.2020(Церковная)","ООО ""ГПС-ОСНОВА"" 
(2 ГК)","2043,0

1242,0",-,"Получено разрешение на ввод от 28.08.2020 (Леонтьевская)

Получено разрешение на ввод от 31.08.2020(Церковная)",СМР
98,78:34:0004281:10124,"СТРОИТЕЛЬСТВО ОБЪЕКТА НАЧАЛЬНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ НА 1600 МЕСТ ПО АДРЕСУ:САНКТ-ПЕТЕРБУРГ, ПРИГОРОДНЫЙ, УЧАСТОК 415, ВКЛЮЧАЯ РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, ПРИГОРОДНЫЙ, УЧАСТОК 415",№ 17/ЗБ-07159 от 23.11.2018,,Получено разрешение на ввод от 02.08.2021,"ООО ""БАЛТИНВЕСТСТРОЙ""",9151.1,-,Получено разрешение на ввод от 02.08.2021,СМР
99,78:34:0004281:11925,"СТРОИТЕЛЬСТВО ОБЪЕКТА НАЧАЛЬНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ, РАСПОЛОЖЕННОГО ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, КОМЕНДАНТСКИЙ ПРОСПЕКТ, УЧАСТОК 2 (ЮГО-ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С РЕКОЙ КАМЕНКОЙ) (1375 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, КОМЕНДАНТСКИЙ ПРОСПЕКТ, УЧАСТОК 2 (ЮГО-ВОСТОЧНЕЕ ПЕРЕСЕЧЕНИЯ С РЕКОЙ КАМЕНКОЙ)",17/3Б-07421,2020,30.06.2022,"ООО ""НОРД-СТРОЙ""",25900.0,-,"Выполняются работы:
уст-во «верхнего слоя » кровли на 4 блоке, монтаж внутр. инж. систем: отопление, сан. тех., вентиляция, эл-ка, слаботочные сети, полусухая стяжка полов, штукатурка и шпаклёвка стен, фасадные работы, монтаж наружных сетей канализации.",СМР
100,78:42:0018304:26303,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ПО АДРЕСУ: Г. ПУШКИН, ПРОМЫШЛЕННАЯ УЛИЦА, УЧАСТОК 6, (СЕВЕРО-ВОСТОЧНЕЕ ДОМА № 17, ЛИТЕРА А ПО ПРОМЫШЛЕННОЙ УЛИЦЕ) (1375 МЕСТ)",ПУШКИНСКИЙ,"Г. ПУШКИН, ПРОМЫШЛЕННАЯ УЛИЦА, УЧАСТОК 6",18/3Б-03067,2020,30.06.2022,"ООО ""КВС""",30693.5,,"Выполняются работы:
1. Устройство кирпичных стен и перегородок 3,4,5 секция. 
2. Устройство теплового контура фасада, устройство штукатурки стен по мин.вате  секция 3, 5 в тепляке.
3. Монтаж витражных конструкций 4 секция
4. Прокладка наружных сетей канализации
5. Монтаж металлоконструкций кровли секция 4.
6. Монтаж системы отопления 6, 7 секция
7. Монтаж электроосвещения розеточных групп 
3, 4 секция.
8. Прокладка гофры под силовые и слаботочные системы - 3,4 Секция.
9. Монтаж лотка под силовые и слаботочные системы 3, 4,5 Секция
10. Монтаж закладных деталей , кронштейнов под наружное освещение фасада  4, 5, 6 Секция.
11. Монтаж системы вентиляции 1,2 Секция 6, 7 Секция.
12. Устройство полов из полусухой стяжки секция 1, 2",СМР
101,78:10:0005542:21,"СТРОИТЕЛЬСТВО НОВОГО ЗДАНИЯ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ НА ЗЕМЕЛЬНОМ УЧАСТКЕ ПО АДРЕСУ: УЛ. ОЛЬГИ ФОРШ, ДОМ 9, ЛИТЕРА А (550 МЕСТ), ВКЛЮЧАЯ  РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",КАЛИНИНСКИЙ,"САНКТ-ПЕТЕРБУРГ, УЛ. ОЛЬГИ ФОРШ, ДОМ 9, ЛИТЕРА А (",78-78-01/347/2007-472,2020,30.06.2022,"АО ""МОНОЛИТСТРОЙ""",15596.9,-,"Выполняются работы: 
1. Устройство монолитных жб конструкций в зоне актового зала и входных групп. 
2. Кирпичная кладка внутренних стен и вент каналов на кровле. 
3. Устройство внутренних инженерных сетей (ВК, ОВ, ЭС). 
4.Устройства кровли в осях 18-22.
5. Монтаж ферм, прогонов и окрытия из проф. листа над спортивным залом и бассейном.",СМР
102,78:15:8019:32,"РЕКОНСТРУКЦИЯ ЗДАНИЯ ПОД РАЗМЕЩЕНИЕ ГОУ ""ЦЕНТР ОБРАЗОВАНИЯ №162 КИРОВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА"" ПО АДРЕСУ: УЛ. ТУРБИННАЯ, Д. 50, ЛИТЕРА А, ВКЛЮЧАЯ РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",КИРОВСКИЙ,"САНКТ-ПЕТЕРБУРГ,УЛ. ТУРБИННАЯ, Д. 50, ЛИТЕРА А",,2020,Получено разрешение на ввод от 31.08.2021,"ООО ""СОТЭКС""","3 605,2
1 158,5",-,Получено разрешение на ввод от 31.08.2021,СМР
103,78:07:0003189:356,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕГО СРЕДНЕГО ОБРАЗОВАНИЯ НА 1100 МЕСТ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ПЕТРОВСКИЙ ПРОСПЕКТ, УЧ. 33",ПЕТРОГРАДСКИЙ,"САНКТ-ПЕТЕРБУРГ, ПЕТРОВСКИЙ ПРОСПЕКТ, УЧ. 33",15/3Б-02584,2020,25.12.2023,"ООО ""Лентехстрой""",20278.4,-,"Выполняются работы  
1. Устройство армирования стен 3го этажа на блоке 3 кор. 1
2. Устройство перекрытия над вторым этажем на блоке 2 кор. 1
3. Устройство перекрытия над первым этажем блок 1 кор 1. 
4. Устройство  ртмтверка  корпус ""бассейн""",СМР
104,78:42:1850206:70,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ШУШАРЫ, ПУЛКОВСКОЕ ШОССЕ, УЧАСТОК 438 (550 МЕСТ)",МОСКОВСКИЙ,"САНКТ-ПЕТЕРБУРГ,ПУЛКОВСКОЕ ШОССЕ, УЧАСТОК 438",18/3Б-03151,2021,20.07.2023,"ЗАО ""Трест 101""",16987.0,,"Нет РНС, АГО на стадии корректировки и согласования
Ведутся работы: 
1. Разработка котлована;
2. Устройство фундаментной плиты;
3. Армирование стен и колонн цокольного этажа;
4. Монтаж опалубки стен и колонн цокольного этажа;",Подготовка к СМР
105,78:42:0018304:26307,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ ШУШАРЫ, СЛАВЯНКА, КОЛПИНСКОЕ ШОССЕ, УЧАСТОК 203 (1375 МЕСТ)",ПУШКИНСКИЙ,"САНКТ-ПЕТЕРБУРГ, ШУШАРЫ, СЛАВЯНКА, КОЛПИНСКОЕ ШОССЕ, УЧАСТОК 203",18/3Б-03149,2021,20.07.2023,"ООО ""КВС""",25421.3,,"Выполняются работы по:
1). ФП4, ФП7 армирование стен и колонн подвала, монтаж опалубки перекрытия;
2).  ФП2, ФП3, ФП6 армирование и бетонирование стен и колонн подвала;
3) ФП1, ФП5 - армирование стен и колонн подвала",СМР
106,,"СТРОИТЕЛЬСТВО ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ НА ТЕРРИТОРИИ, ОГРАНИЧЕННОЙ ПУЛКОВСКИМ ШОССЕ, ДУНАЙСКИМ ПР., МОСКОВСКИМ ШОССЕ И ЮЖНЫМ ПОЛУКОЛЬЦОМ ОКТЯБРЬСКОЙ ЖЕЛЕЗНОЙ ДОРОГИ, В МОСКОВСКОМ РАЙОНЕ (ФЗУ № 24), ВМЕСТИМОСТЬЮ 1100 МЕСТ",МОСКОВСКИЙ,,,2021,20.07.2024,"КОНКУРС
(ГК - декабрь 2021)",,,,Подготовка к СМР
107,78:36:0536801:3,"СТРОИТЕЛЬСТВО НОВОГО ЗДАНИЯ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ НА ЗЕМЕЛЬНОМ УЧАСТКЕ ПО АДРЕСУ: БОЛОТНАЯ УЛ., ДОМ 6, ЛИТЕРА А (550 МЕСТ)",ВЫБОРГСКИЙ,"САНКТ-ПЕТЕРБУРГ,БОЛОТНАЯ УЛ., ДОМ 6, ЛИТЕРА А",78-АЗ№729446,2021,20.07.2023,"АО ""МОНОЛИТСТРОЙ""","15 309,4",-,"Выполняются работы:
1.На секции 3 устройство стен и колонн 3го этажа. 
2. На секции 1 устройство стен и колонн 4 этажом. 
3. На секции 4 устройство стен бассейна. 
4. Уст-во наружных и внутренних стен из кирпича и газобетонных блоков
5. Обратная засыпка по периметру здания",СМР
108,78:14:0007686:3398,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: МОСКОВСКОЕ ШОССЕ, ДОМ 3, ЛИТЕРА З (140 МЕСТ), ВКЛЮЧАЯ РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",МОСКОВСКИЙ,"САНКТ-ПЕТЕРБУРГ,МОСКОВСКОЕ ШОССЕ, ДОМ 3, ЛИТЕРА З",№ 12/ЗБ-03258 от 16.11.2018,19.09.2017,Получено разрешение на ввод от 03.11.2020,"ООО ""СТРОЙКОМПЛЕКС-95 УПРАВЛЕНИЕ НАЧАЛЬНИКА РАБОТ""","1 563,7",-,Получено разрешение на ввод от 03.11.2020,СМР
109,78:13:0007430:10666,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ (ДОУ),  САНКТ-ПЕТЕРБУРГ, БУХАРЕСТСКАЯ УЛ.,  УЧАСТОК 1 (ТЕРРИТОРИЯ, ОГРАНИЧЕННАЯ УЛ. ДИМИТРОВА, М. БУХАРЕСТСКОЙ УЛ., ДУНАЙСКИМ ПР., БУХАРЕСТСКОЙ УЛ., ВО ФРУНЗЕНСКОМ РАЙОНЕ; ФЗУ № 41), (ЮРВ, КВ.30, КОРП. 29) (220 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ФРУНЗЕНСКИЙ,"САНКТ-ПЕТЕРБУРГ, БУХАРЕСТСКАЯ УЛ.,  УЧАСТОК 1 (ТЕРРИТОРИЯ, ОГРАНИЧЕННАЯ УЛ. ДИМИТРОВА, М. БУХАРЕСТСКОЙ УЛ., ДУНАЙСКИМ ПР., БУХАРЕСТСКОЙ УЛ., ВО ФРУНЗЕНСКОМ РАЙОНЕ; ФЗУ № 41)",21/ЗБ-04409 от 30.10.2018,2020,30.06.2022,"ООО ""СУ-17""",5101.0,-,"Ведутся работы:
Ведётся прокладка линий в лотках и в кандуктарах эл. освещения, эл. снабжения, слаботочных систем.
Монтаж трубопроводов  систем водоснабжения, отопления, водоотведения.
Идут подготовительные работы к отделке помещений (заделка отверстий, шлифовка).
Ведутся подготовительные работы для монтажа систем вентиляции. 
Выполняется монтаж системы вентилируемого фасада.",СМР
110,78:42:0018247:22,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: Г. ПУШКИН, КРАСНОСЕЛЬСКОЕ ШОССЕ, УЧАСТОК 1 (СЕВЕРНЕЕ ДОМА 57, ЛИТЕРА А, ПО КРАСНОСЕЛЬСКОМУ ШОССЕ) (200 МЕСТ)",ПУШКИНСКИЙ,"Г. ПУШКИН, КРАСНОСЕЛЬСКОЕ ШОССЕ, УЧАСТОК 1",от 15.03.2018 18/ЗБС-10391,25.05.2018,Получено разрешение на ввод № 78-16-87-2020,"ООО СК ""ВЫСОТСПЕЦСТРОЙ""",1805.9,-,Получено разрешение на ввод № 78-16-87-2020,СМР
111,78:06:0002201:12081,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, УЛИЦА КОРАБЛЕСТРОИТЕЛЕЙ, УЧАСТОК 1, (ЮГО-ЗАПАДНЕЕ ДОМА 21, КОРПУС 3, ЛИТЕРА А ПО УЛИЦЕ КОРАБЛЕСТРОИТЕЛЕЙ), (САНКТ-ПЕТЕРБУРГ, ЗАПАДНАЯ ЧАСТЬ В.О., КВАРТАЛ 1, КОРП.35) (220 МЕСТ)",ВАСИЛЕОСТРОВСКИЙ,"САНКТ-ПЕТЕРБУРГ, УЛИЦА КОРАБЛЕСТРОИТЕЛЕЙ, УЧАСТОК 1, (ЮГО-ЗАПАДНЕЕ ДОМА 21, КОРПУС 3, ЛИТЕРА А ПО УЛИЦЕ КОРАБЛЕСТРОИТЕЛЕЙ)",№01/ЗБ-06064 от 22.10.2018,07.04.2015,Получено разрешение на ввод объекта в эксплуатацию №78-02-36-2020,"ООО ""ЛЕНТЕХСТРОЙ""",1619.0,-,Получено разрешение на ввод объекта в эксплуатацию №78-02-36-2020,СМР
112,78:37:0017414:6011,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, ПОСЕЛОК МЕТАЛЛОСТРОЙ, САДОВАЯ УЛИЦА, УЧАСТОК 2 (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ С ПИОНЕРСКОЙ УЛИЦЕЙ), (ПОСЕЛОК МЕТАЛЛОСТРОЙ, КВАРТАЛ 2А, УЧАСТОК 4) (185 МЕСТ)",КОЛПИНСКИЙ,"САНКТ-ПЕТЕРБУРГ, ПОСЕЛОК МЕТАЛЛОСТРОЙ, САДОВАЯ УЛИЦА, УЧАСТОК 2 (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ С ПИОНЕРСКОЙ УЛИЦЕЙ), (ПОСЕЛОК МЕТАЛЛОСТРОЙ, КВАРТАЛ 2А, УЧАСТОК 4)",№06/ЗБ-03784 от 18.09.2018,13.04.2015,Получено разрешение на ввод от 18.08.2021,"АО ""ТРЕСТ № 68""",1394.35,-,Получено разрешение на ввод от 18.08.2021,СМР
113,,"РЕКОНСТРУКЦИЯ ЗДАНИЯ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ЦЕНТРА ОБРАЗОВАНИЯ № 167 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ДЛЯ РАЗМЕЩЕНИЯ ДОШКОЛЬНОГО ОТДЕЛЕНИЯ ПО АДРЕСУ: УЛ. ЛЕТЧИКА ПИЛЮТОВА, Д. 13, КОРП. 2, ЛИТЕРА А",КРАСНОСЕЛЬСКИЙ,,,,Получено разрешение на ввод от 31.12.2019,"АО ""СТРОЙИНВЕСТ""",,-,Получено разрешение на ввод от 31.12.2019,СМР
114,,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: ЮЖНОЕ ШОССЕ, УЧАСТОК 7 (ЮГО-ЗАПАДНЕЕ ДОМА 49, ЛИТЕРА Ф ПО ЮЖНОМУ ШОССЕ) (НА 160 МЕСТ), ВКЛЮЧАЯ РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ФРУНЗЕНСКИЙ,,,,Получено разрешение на ввод от 31.12.2019,"ООО 
""ПЕТРОЭНЕРГО- КОМПЛЕКС""",,-,Получено разрешение на ввод от 31.12.2019,СМР
115,,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, УЛИЦА ДМИТРИЯ УСТИНОВА, УЧАСТОК 1 (СЕВЕРНЕЕ ДОМА 14, КОРПУС 1, ЛИТЕРА А ПО ШЛИССЕЛЬБУРГСКОМУ ПРОСПЕКТУ), (МИКРОРАЙОН РЫБАЦКОЕ, УЛ. ДМИТРИЯ УСТИНОВА, У ДОМА № 1) (190 МЕСТ)",НЕВСКИЙ,,,,Получено разрешение на ввод от 30.10.2019,"ЗАО ""ТРЕСТ""",,-,Получено разрешение на ввод от 30.10.2019,СМР
116,78:12:0006357:21,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, ОКТЯБРЬСКАЯ НАБ., НАПРОТИВ Д. 118, КОРП. 9 (150 МЕСТ)",НЕВСКИЙ,"САНКТ-ПЕТЕРБУРГ,ОКТЯБРЬСКАЯ НАБ., НАПРОТИВ Д. 118, КОРП. 9",№ 13/ЗБ-05993,23.07.2014,Получено разрешение на ввод № 78-12-62-2020,"ООО ""УНР-398""",1440.28,-,Получено разрешение на ввод № 78-12-62-2020,СМР
117,,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, Г.ЗЕЛЕНОГОРСК , УЛИЦА МИРА, УЧАСТОК 1 (СЕВЕРО-ВОСТОЧНЕЕ ДОМА 22, ЛИТЕРА А ПО ШИРОКОЙ УЛИЦЕ) (ЗЕЛЕНОГОРСК, ЗЕМЕЛЬНЫЙ УЧАСТОК 2, КВАРТАЛ  20) (90МЕСТ)",КУРОРТНЫЙ,,,,Получено разрешение на ввод от 31.12.2019,"ООО ""НСТ""",,-,Получено разрешение на ввод от 31.12.2019,СМР
118,,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, ПИСКАРЕВСКИЙ ПРОСПЕКТ, УЧАСТОК 1, (СЕВЕРНЕЕ ДОМА 161, ЛИТЕРА А, ПО ПИСКАРЕВСКОМУ ПРОСПЕКТУ), (МИКРОРАЙОН РУЧЬИ) (160 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",КРАСНОГВАРДЕЙСКИЙ,,,,Получено разрешение на ввод от 24.07.2019,"АО ""ТРЕСТ 68""",,-,Получено разрешение на ввод от 24.07.2019,СМР
119,78:06:0002203:38,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, ЗАПАДНАЯ ЧАСТЬ В.О., КВАРТАЛ 3 (165 МЕСТ), ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ВАСИЛЕОСТРОВСКИЙ,"САНКТ-ПЕТЕРБУРГ,ЗАПАДНАЯ ЧАСТЬ В.О., КВАРТАЛ 3",№ 01/ЗБС-10443,26.09.2014,Получено разрешение на ввод от 31.08.2020,"ООО ""ПЕТРОЭНЕРГО-КОМПЛЕКС""",1676.3,-,Получено разрешение на ввод от 31.08.2020,СМР
120,78:34:0004270:3222,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ,  САНКТ-ПЕТЕРБУРГ, СУЗДАЛЬСКОЕ ШОССЕ, УЧАСТОК 15, (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ СУЗДАЛЬСКОГО ШОССЕ С ВЫБОРГСКИМ НАПРАВЛЕНИЕМ Ж.Д.) (140 МЕСТ),  ВКЛЮЧАЯ КОРРЕКТИРОВКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, СУЗДАЛЬСКОЕ ШОССЕ, УЧАСТОК 15, (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ СУЗДАЛЬСКОГО ШОССЕ С ВЫБОРГСКИМ НАПРАВЛЕНИЕМ Ж.Д.)",№ 17/ЗБС-10359,18.12.2017,Получено разрешение на ввод № 78-15-117-2020,"ООО ""СУАР-ГРУПП""",1544.0,-,Получено разрешение на ввод № 78-15-117-2020,СМР
121,,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: УЛ. ОЛЕКО ДУНДИЧА, Д. 20, КОРП. 2, ЛИТЕРА А (220 МЕСТ)",ФРУНЗЕНСКИЙ,,,,Получено разрешение на ввод от 31.12.2019,"ЗАО ""ТРЕСТ""",,-,Получено разрешение на ввод от 31.12.2019,СМР
122,78:36:0005359:5444,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ЛИСТВЕННАЯ УЛИЦА,  УЧАСТОК 1 (СЕВЕРО-ВОСТОЧНЕЕ ДОМА 20, ЛИТЕРА Б ПО УЛИЦЕ ЖАКА ДЮКЛО); (ТЕРР., ОГР. СЕВЕРНЫМ ПР., УЛ. ЕСЕНИНА, ЛИСТВЕННОЙ УЛ., УЛ ЖАКА ДЮКЛО, ПАРКОМ ""СОСНОВКА"", КВАРТАЛЫ 336А И 336Б) (220 МЕСТ)",ВЫБОРГСКИЙ,"САНКТ-ПЕТЕРБУРГ, ЛИСТВЕННАЯ УЛИЦА,  УЧАСТОК 1 (СЕВЕРО-ВОСТОЧНЕЕ ДОМА 20, ЛИТЕРА Б ПО УЛИЦЕ ЖАКА ДЮКЛО); (ТЕРР., ОГР. СЕВЕРНЫМ ПР., УЛ. ЕСЕНИНА, ЛИСТВЕННОЙ УЛ., УЛ ЖАКА ДЮКЛО, ПАРКОМ ""СОСНОВКА"", КВАРТАЛЫ 336А И 336Б)",№02/ЗБС-10290,18.07.2017,получено разрешение на ввод № 78-03-59-2020,"ООО ""М-ГРУПП""",1 784,-,получено разрешение на ввод № 78-03-59-2020,СМР
123,78:34:0004270:3221,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ, САНКТ-ПЕТЕРБУРГ, СУЗДАЛЬСКОЕ ШОССЕ, УЧАСТОК 14 (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ СУЗДАЛЬСКОГО ШОССЕ С ВЫБОРГСКИМ НАПРАВЛЕНИЕМ Ж.Д.) (140 МЕСТ)",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, СУЗДАЛЬСКОЕ ШОССЕ, УЧАСТОК 14 (ЮГО-ЗАПАДНЕЕ ПЕРЕСЕЧЕНИЯ СУЗДАЛЬСКОГО ШОССЕ С ВЫБОРГСКИМ НАПРАВЛЕНИЕМ Ж.Д.)",№17/ЗБС-10371,07.04.2015,Получено разрешение на ввод от 31.08.2020,"ООО ""СУАР-ГРУПП""",1544.0,-,Получено разрешение на ввод от 31.08.2020,СМР
124,78:34:0004163:21,"СТРОИТЕЛЬСТВО ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, ПРИМОРСКИЙ РАЙОН,СЕВЕРО-ПРИМОРСКАЯ ЧАСТЬ КВАРТАЛ 63 (САНКТ-ПЕТЕРБУРГ, ЯХТЕННАЯ УЛ., УЧАСТОК 1 (СЕВЕРО-ВОСТОЧНЕЕ Д.1, КОРП.1, ЛИТЕРА А ПО ЯХТЕННОЙ УЛ.)) (190 МЕСТ)",ПРИМОРСКИЙ,"САНКТ-ПЕТЕРБУРГ, ПРИМОРСКИЙ РАЙОН,СЕВЕРО-ПРИМОРСКАЯ ЧАСТЬ КВАРТАЛ 63 (САНКТ-ПЕТЕРБУРГ, ЯХТЕННАЯ УЛ., УЧАСТОК 1 (СЕВЕРО-ВОСТОЧНЕЕ Д.1, КОРП.1, ЛИТЕРА А ПО ЯХТЕННОЙ УЛ.))",№17/ЗБС-10370                                          26.01.2018 по 25.01.2019,01.04.2015,Получено разрешение на ввод № 78-15-100-2020,"АО ""ТРЕСТ 68""",1821.8,-,Получено разрешение на ввод № 78-15-100-2020,СМР
125,78:40:0008454:15,"СТРОИТЕЛЬСТВО НОВОГО ЗДАНИЯ ДОШКОЛЬНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ПО АДРЕСУ: САНКТ-ПЕТЕРБУРГ, УЛИЦА ДОБРОВОЛЬЦЕВ, ДОМ 18, КОРПУС 2, ЛИТЕРА А (220 МЕСТ), ВКЛЮЧАЯ РАЗРАБОТКУ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ СТАДИИ РД",КРАСНОСЕЛЬСКИЙ,"САНКТ-ПЕТЕРБУРГ, УЛИЦА ДОБРОВОЛЬЦЕВ, ДОМ 18, КОРПУС 2, ЛИТЕРА А",78-АЖ №722827,2020,Получено разрешение на ввод № 78-08-31-2021,"ООО ""СУАР-ГРУПП""",5958.3,-,Получено разрешение на ввод № 78-08-31-2021,СМР
