№,Полное наименование образовательного учреждения (в соответствии с Уставом),Адрес,Дата принятия решения о выдаче свидетельства о государственной аккредитации,Реквизиты свидетельства о государственной аккредитации,Реквизиты приложения к свидетельству,Срок окончания действия свидетельства о государственной аккредитации,"Перечень аккредитованных программ, укрупненных групп направлений подготовки и специальностей",Основание и дата переоформления свидетельства о государственной аккредитации,Основание и дата приостановления и возобновления действия свидетельства о государственной аккредитации,ОГРН,ИНН
1,Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,"190020, Россия, Санкт-Петербург, Старо-Петергофский проспект, дом 33, лит.Б",2013-05-27,78А01 № 0000704,78А01 № 0000688,Бессрочно,Начальное общее образование; Основное общее образование,"6134-р, 30.12.2015",,1027810346739,7826048672
2,Государственное бюджетное общебразовательное учреждение Вторая Санкт-Петербургская Гимназия,"190000, Санкт-Петербург, ул.Казанская, дом 27, литер ""А""",2014-03-07,78А01 № 0000551,78А01 № 0000558,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027810346387,7812017321
3,Государственное бюджетное общеобразовательное учреждение школа № 5 Адмиралтейского района Санкт-Петербурга,"190013, Санкт-Петербург, Батайский пер. Д.6-8 лит А",2013-05-27,78А01 № 0000521,78А01 № 0000604,Бессрочно,Начальное общее образование; Основное общее образование,"5245-р, 02.11.2015",,1027810298988,7826049281
4,Государственное бюджетное общеобразовательное учреждение гимназия № 190 Центрального района Санкт-Петербурга,"191028, Санкт-Петербург, набережная реки Фонтанки, дом 22, литер А",2011-03-14,78А01 № 0000241,78А01 № 0000297,Бессрочно,Основное общее образование; Среднее общее образование,"395-р, 14.02.2012; 2034-р, 27.04.2015",,1027809252130,7825129801
5,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 225 Адмиралтейского района Санкт-Петербурга,"190000, Санкт-Петербург, Адмиралтейская набережная, д. 4, лит. А",2013-01-16,78А01 № 0000219,78А01 № 0000272,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1805-р, 17.04.2015",,1027810349368,7826717877
6,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 229 Адмиралтейского района Санкт-Петербурга,"190068, Санкт-Петербург, переулок Бойцова, дом 3, литер А",2015-01-23,78А01 № 0000032,78А01 № 0000080,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027810356221,7826717274
7,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 232 Адмиралтейского района Санкт-Петербурга,"190068, Санкт-Петербург, набережная Крюкова канала, д.15, лит.А, пом. 1Н, 2Н, 3Н",2013-01-16,78А01 № 0000218,78А01 № 0000271,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1806-р, 17.04.2015",,1027810291189,7826717884
8,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 234 Адмиралтейского района Санкт-Петербурга,"190121, Санкт-Петербург, Канонерская улица , д.33, лит.А",2013-01-16,78А01 № 0000323,78А01 № 0000394,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3136-р, 29.09.2015",,1027810334353,7826717901
9,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 235 с углубленным изучением отдельных учебных предметов им. Д.Д.Шостаковича Адмиралтейского района Санкт-Петербурга,"190121, город Санкт-Петербург, набережная реки Пряжки, дом 4-6, лит. А",2015-01-23,78А01 № 0001006,78А01 № 0001034,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2516-р, 25.12.2020",,1037851004091,7826717612
10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 238 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,"190000, Санкт-Петербург, Галерная улица, д.36-38, лит. А",2013-01-16,78А01 № 0000532,78А01 № 0000612,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1809-р, 17.04.2015",,1027810344100,7826717620
11,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 241 Адмиралтейского района Санкт-Петербурга,"190068, Санкт-Петербург, Вознесенский проспект, д. 38/4, лит. А",2012-03-14,78А01 № 0000199,78А01 № 0000252,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1465-р, 02.04.2015",,1027810295237,7826718310
12,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 243 Адмиралтейского района Санкт-Петербурга,"190031, Санкт-Петербург, переулок Гривцова, д. 18, лит А",2013-01-16,78А01 № 0000049,78А01 № 0000097,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"293-р, 29.01.2015",,1037851014233,7826718447
13,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 245 имени Героя Советского Союза Ю.В. Пасторова Адмиралтейского района Санкт-Петербурга,"190121, Санкт-Петербург, ул. Союза Печатников, дом 26, литера А, помещение 1Н, 9Н, 10Н, 12Н",2012-03-14,78А01 № 0000910,78А01 № 0000927,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1803-р, 17.04.2015; 3525-р; 13.12.2018",,1027810299021,7826729953
14,Государственное бюджетное общеобразовательное учреждение средняя общеобразвоательная школа № 255 с углубленным изучением отдельных предметов Адмиралтейского района Санкт-Петербурга,"190068, город Санкт-Петербург, переулок Фонарный, дом 4 литера А",2014-02-17,78А01 № 0001095,78А01 № 0001133,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2425-р, 07.12.2022",,1027810345310,7826718341
15,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 256 Адмиралтейского района Санкт-Петербурга,"190068, г. Санкт-Петербург, набережная канала Грибоедова, д. 76, лит. П",2015-01-23,78А01 № 0000033,78А01 № 0000081,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027810346717,7826720140
16,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 259 имени М.Т. Лорис-Меликова Адмиралтейского района Санкт-Петербурга,"190121, Санкт-Петербург, наб. Крюкова канала, д.3, лит. А",2011-02-17,78А01 № 0000894,78А01 № 0000909,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"815-р, 28.03.2012; 1811-р, 17.04.2015; 2716-р, 24.09.2018",,1027810317590,7826717644
17,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 260 Адмиралтейского района Санкт-Петербурга,"190121, Санкт-Петербург, Лермонтовский проспект, д.21, лит. А",2013-01-16,78А01 № 0000366,78А01 № 0000438,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1320-р, 26.03.2015; 3508-р, 16.07.2015",,1027810291541,7826733237
18,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 263 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,"190020, Санкт-Петербург, Старо-Петергофский проспект, дом 33, Лит. А",2011-03-14,78А01 № 0000430,78А01 № 0000503,Бессрочно,Основное общее образование; Среднее общее образование,"4443-р, 04.09.2015",,1027810346211,7809023798
19,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 266 с углубленным изучением иностранных языкоы Адмиралтейского района Санкт-Петербурга,"190005, город Санкт-Петербург, улица 5-я Красноармейская 23, лит.А",2011-03-14,78А01 № 0001028,78А01 № 0001056,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1820-р, 22.06.2012; 3333-р, 07.07.2015; 1504-р, 20.05.2021",,1027810301606,7826049588
20,Государственное бюджетное общеобразовательное учреждение Гимназия № 272 Адмиралтейского района Санкт-Петербурга,"190103, Санкт-Петербург, 8-я Красноармейская улица, дом 3, литер А",2011-03-14,78А01 № 0000215,78А01 № 0000268,Бессрочно,Основное общее образование; Среднее общее образование,"1235-р, 03.05.2012; 1610-р, 13.04.2015",,1027810347773,7826049404
21,Государственное бюджетное общеобразовательное учреждение гимназия № 278 имени Б.Б.Голицына Адмиралтейского района Санкт-Петербурга,"198103, Санкт-Петербург, Дровяная улица, д. 7а, литер А",2015-01-23,78А01 № 0000183,78А01 № 0000235,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1143-р, 19.03.2015",,1037851010977,7826053030
22,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 280 имени М.Ю. Лермонтова Адмиралтейского района Санкт-Петербурга,"198103, Санкт-Петербург, Лермонтовский проспект, д. 52, лит. А",2013-01-16,78А01 № 0000482,78А01 № 0000557,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4980-р, 09.10.2015",,1037851014167,7826049115
23,Государственное бюджетное общеобразовательное учреждение Лицей № 281 Адмиралтейского района Санкт-Петербурга,"190005, Санкт-Петербург, Советский переулок, дом 4, лит. А",2013-01-16,78А01 № 0000776,78А01 № 0000784,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3243-р, 02.07.2015; 3720-р, 16.12.2016",,1027810332593,7826053619
24,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 287 Адмиралтейского района Санкт-Петербурга,"190020, г. Санкт-Петербург, Бумажная улица, д.5, лит.А",2013-01-16,78А01 № 0000331,78А01 № 0000402,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3244-р, 02.07.2015",,1027810340447,7826051812
25,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 288 имени Олега Ольховского Адмиралтейского района Санкт-Петербурга,"190020, город Санкт-Петербург, улица Курляндская, дом 43 литера А",2012-03-14,78А01 № 0001094,78А01 № 0001132,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"104-р, 24.01.2013; 1467-р, 02.04.2015; 2428-р, 07.12.2022",,1027810345309,7826051805
26,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 306 с углубленным изучением английского языка Адмиралтейского района Санкт-Птербурга,"190013, Санкт-Петербург, Верейская улица, дом 20, лит. А",2015-01-23,78А01 № 0000034,78А01 № 0000083,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027810332307,7809025509
27,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 307 Адмиралтейского района Санкт-Петербурга,"190013, Санкт-Петербург, Малодетскосельский проспект, д.23, лит.А",2014-02-17,78А01 № 0000436,78А01 № 0000443,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027810301243,7826056088
28,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 317 Адмиралтейского района Санкт-Петербурга,"198014, Санкт-Петербург, улица Серпуховская, дом 39, лит. А",2011-02-17,78А01 № 0000345,78А01 № 0000416,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"815-р, 28.03.2012; 3245-р, 02.07.2015",,1027810305533,7826056183
29,Государственное бюджетное общеобразовательное учреждение школа № 522 Адмиралтейского района Санкт-Петербурга,"190013, Санкт-Петербург, Малодетскосельский, пр., дом 17-19/34, лит. А",2013-05-27,78А01 № 0000657,78А01 № 0000637,Бессрочно,Начальное общее образование; Основное общее образование,"5563-р, 24.11.2015",,1027810287999,7826049732
30,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 564 Адмиралтейского района Санкт-Петербурга,"190005, Санкт-Петербург, улица Егорова, д.24,лит.А",2014-02-17,78А01 № 0000439,78А01 № 0000446,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027810242910,7826048665
31,Государственное бюджетное общеобразовательное учреждение начальная общеобразовательная школа № 615 Адмиралтейского района Санкт-Петербурга,"190020, Санкт-Петербург, Нарвский проспект, , дом 4-6, литер А",2012-03-14,78А01 № 0000769,78А01 № 0000775,Бессрочно,Начальное общее образование,"3223-р, 11.11.2016",,1037851005048,7826048658
32,"Государственное бюджетное общеобразовательное учреждение школа № 616 Адмиралтейского района Санкт-Петербурга ""Центр абилитации с индивидуальными формами обучения ""Динамика""","190020, Санкт-Петербург, улица Курляндская, дом 29, литер А",2015-02-26,78А01 № 0000522,78А01 № 0000602,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5312-р, 06.11.2015",,1027810344760,7809023075
33,"Государственное бюджетное общеобразовательное учреждение прогимназия ""Радуга"" № 624 Адмиралтейского района Санкт-Петербурга","190103, Санкт-Петербург, 8-я Красноармейская улица, д. 16, лит. А",2014-02-17,78А01 № 0000533,78А01 № 0000613,Бессрочно,Начальное общее образование,"5395-р, 12.11.2015",,1047836034850,7839016237
34,Государственное бюджетное общеобразовательное учреждение средняя школа № 2 Василеостровского района Санкт-Петербурга,"199226, Санкт-Петербург, улица Наличная дом 32, корпус 2, литер А",2012-03-14,78А01 № 0000229,78А01 № 0000282,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1812-р, 17.04.2015",,1027800547610,7801136366
35,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 4 с углубленным изучением французского языка имени Жака-Ива Кусто Василеостровского района Санкт-Петербурга,"199106, Санкт-Петербург, улица Опочининна, дом 10, лит. А",2011-03-14,78А01 № 0000448,78А01 № 0000521,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3081-р, 22.11.2012; 4706-р, 21.09.2015",,1027800560303,7801136944
36,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 5 Василеостровского района Санкт-Петербурга имени Карла Мая,"199178, город Санкт-Петербург, линия 13-я В.О., дом 28 литера А",2013-01-16,78А01 № 0001070,78А01 № 0001105,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"725-р, 03.03.2014; 3253-р, 02.07.2015; 2643-р, 02.09.2019; 1236-р, 16.06.2022",,1027800543407,7801137313
37,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №6 Василеостровского района Санкт-Петербурга,"199106, Санкт-Петербург, улица Шевченко, дом 3, литер А",2012-03-14,78А01 № 0000048,78А01 № 0000096,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"291-р, 29.01.2015",,1037800013789,7801136101
38,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 10 с углубленным изучением химии Василеостровского района Санкт-Петербурга,"199155, Санкт-Петербург, улица Кораблестроителей, дом 42, корпус 2, литер А",2013-01-16,78А01 № 0000340,78А01 № 0000411,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3252-р, 02.07.2015",,1027800546795,7801137024
39,Государственное бюджетное общеобразовательное учреждение гимназия № 11 Василеостровского района Санкт-Петербурга,"199178, Санкт-Петербург, 16-я линия В.О., дом 55, лит. А",2011-02-17,78А01 № 0000222,78А01 № 0000275,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1735-р, 01.10.2010; 1797-р, 17.04.2015",,1037800024690,7801136091
40,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 12 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга,"199226, Санкт-Петербург, улица Кораблестроителей, дом 21, корпус 3, литер А",2014-02-17,78А01 № 0000417,78А01 № 0000425,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027800541735,7801136239
41,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 15 Василеостровского района Санкт-Петербурга,"199406, Санкт-Петербург, улица Шевченко, дом 36, литер А",2011-03-14,78А01 № 0000334,78А01 № 0000405,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2398-р, 29.08.2012; 3251-р, 02.07.2015",,1037800017584,7801135588
42,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 16 Василеостровского района Санкт - Петербурга,"199397, Санкт-Петербург, Наличная ул., д.44, кор.5, лит. А",2011-02-17,78А01 № 0000341,78А01 № 0000412,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3342-р, 13.12.2012; 3250-р, 02.07.2015",,1037800017518,7801136609
43,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 17 Василеостровского района Санкт-Петербурга,"199026, Санкт-Петербург, 19 линия В.О, дом 22, литера А",2013-01-16,78А01 № 0000217,78А01 № 0000270,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1804-р, 17.04.2015",,1037800062585,7801136782
44,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 18 с углубленным изучением математики Василеостровского района Санкт-Петербурга,"199155, Санкт-Петербург, пр. КИМа, дом 11, литера Б",2012-03-26,78А01 № 0000917,78А01 № 0000935,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3249-р, 02.07.2015; 372-р, 07.02.2019",,1037800007211,7801136052
45,"Государственное бюджетное общеобразовательное учреждение гимназия № 192 Калининского района Санкт-Петербурга ""Брюсовская гимназия""","195271, Санкт-Петербург, улица Брюсовская, дом 10, литер А",2015-02-11,78А01 № 0000090,78А01 № 0000144,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027802499119,7804086201
46,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 21 Василеостровского района Санкт-Петербурга имени Э.П. Шаффе,"199004, Санкт-Петербург, 5 линия, дом 16/17, литера А",2013-03-14,78А01 № 0000756,78А01 № 0000758,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3248-р, 02.07.2015; 2675-р, 23.09.2016",,1037800018695,7801136790
47,Государственное бюджетное общеобразовательное учреждение гимназия № 24 имени И.А.Крылова Санкт-Петербурга,"199053, Санкт-Петербург, Средний проспект, дом 20, литера А",2013-01-16,78А01 № 0000220,78А01 № 0000273,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1808-р, 17.04.2015",,1037800008784,7801033297
48,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 27 с углубленным изучением литературы, истории и иностранных языков Василеостровского района Санкт-Петербурга имени И.А. Бунина","199034, Санкт-Петербург, 10 линия В.О., д.1/15, литер А",2014-02-17,78А01 № 0000922,78А01 № 0000940,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"621-р, 05.03.2019",,1037800017243,7801136736
49,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 29 с углубленным изучением французского языка и права Василеостровского района Санкт-Петербурга,"199178, Санкт-Петербург, Малый пр. В.О., д. 34, литера А",2011-03-14,78А01 № 0000474,78А01 № 0000549,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4879-р, 07.10.2015",,1037800021379,7801135556
50,"Государственное бюджетное общеобразовательное учреждение ""Санкт-Петербургский губернаторский физико-математический лицей № 30""","199406, Санкт-Петербург, ул. Шевченко, д. 23, корпус 2, литер А",2012-03-26,78А01 № 0000028,78А01 № 0000349,Бессрочно,Основное общее образование; Среднее общее образование,"237-р, 27.01.2015; 2469-р, 19.05.2015",,1027800551130,7801136447
51,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 31 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга,"199155, Санкт-Петербург, улица Кораблестроителей, дом 38, корпус 2, литер А",2014-02-17,78А01 № 0000419,78А01 № 0000423,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1037800017969,7801137088
52,"Государственное бюджетное общеобразовательное учреждение гимназия № 32 ""Гимназия петербургской культуры"" Василеостровского района Санкт-Петербурга","199053, Санкт-Петербург, 2-я линия В.Л., дом 43, лит. В",2015-01-23,78А01 № 0000483,78А01 № 0000558,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4981-р, 09.10.2015",,1027800539470,7801136278
53,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 35 с углубленным изучением английского языка Василеостровского района Санкт-Петербурга,"199004,Санкт-Петербург, Кадетская линия В.О, д.3, литер А",2011-02-17,78А01 № 0000961,78А01 № 0000984,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"4703-р, 21.09.2015; 3013-р, 09.10.2019",,1037800050276,7801136292
54,Государственное бюджетное образовательное учреждение начальная школа - детский сад № 36 Василеостровского района Санкт-Петербурга,"199106, Санкт-Петербург, ул.Канареечная, д.11, литер А",2012-03-14,78А01 № 0000705,78А01 № 0000689,Бессрочно,Начальное общее образование,"1462-р, 22.05.2012; 6133-р, 30.12.2015",,1037800004648,7801137289
55,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""","199155, Г. Санкт-Петербург, вн.тер.г.муниципальный округ, остров Декабристов, пер Каховского, д. 2, литера Б",2011-03-14,78А01 № 0001024,78А01 № 0001052,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1068-р, 07.05.2013, 4818-р, 30.09.2015; 1409-р, 14.05.2021",,1047800031355,7801265957
56,Государственное бюджетное общеобразовательное учреждение гимназия № 586 Василеостровского района Санкт-Петербурга,"199397, Санкт-Петербург, ул. Кораблестроителей, д. 37, корпус 5, литер А",2011-03-14,78А01 № 0000722,78А01 № 0000712,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1799-р, 17.04.2015; 903-р, 28.03.2016",,1037800017551,7801136077
57,"Государственное бюджетное общеобразовательное учреждение гимназия № 642 ""Земля и Вселенная"" Василеостровского района Санкт-Петербурга","199406, Санкт-Петербург, ул.Гаванская, дом 54, литер Б",2014-02-17,78А01 № 0000444,78А01 № 0000451,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027800547510,7801140073
58,Государственное бюджетное общеобразовательное учреждение школа-интернат № 1 Выборгского района Санкт-Петербурга,"194156, Санкт-Петербург, проспект Энгельса, дом 4, лит.А",2013-05-27,78А01 № 0000234,78А01 № 0000287,Бессрочно,Начальное общее образование; Основное общее образование,"1985-р, 23.04.2015",,1027801583204,7802144560
59,Государственное бюджетное общеобразовательное учреждение школа № 6 Выборгского района Санкт-Петербурга,"194017, Санкт-Петербург, Дрезденская улица, д.13, лит. А",2013-05-27,78А01 № 0000154,78А01 № 0000204,Бессрочно,Начальное общее образование; Основное общее образование,"860-р, 05.03.2015",,1027801541602,7802142926
60,Государственное бюджетное общеобразовательное учреждение школа-интернат № 33 Выборгского района Санкт-Петербурга,"194223, Санкт-Петербург, 2-й Муринский проспект, дом 24, лит. А.",2013-05-27,78А01 № 0000223,78А01 № 0000276,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1802-р, 17.04.2015",,1027801583226,7802144465
61,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 60 Выборгского района Санкт-Петербурга,"194295, Санкт-Петербург, проспект Художников, д.9, корп.3, лит.А",2013-01-16,78А01 № 0000357,78А01 № 0000429,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3478-р, 14.07.2015",,1027801583336,7802144641
62,Государственное бюджетное общеобразовательное учреждение гимназия № 61 Выборгского района Санкт-Петербурга,"194295, Санкт-Петербург, пр. Художников дом 29, корпус 3, лит. А",2014-02-17,78А01 № 0000421,78А01 № 0000428,Бессрочно,Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027801583347,7802123610
63,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 62 Выборгского района Санкт-Петербурга,"194291, Санкт-Петербург, Поэтический бульвар, дом 15, корпус 2, литера А",2011-03-14,78А01 № 0000502,78А01 № 0000581,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1832-р, 22.06.2012; 5091-р, 20.10.2015",,1027801583358,7802142073
64,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 65 с углубленным изучением французского языка Выборгского района Санкт-Петербурга,"194354, Санкт-Петербург, Учебный переулок, дом 8, корпус 2, литера А",2013-01-16,78А01 № 0000498,78А01 № 0000577,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5089-р, 20.10.2015",,1027801583369,7802147709
65,"Государственное бюджетное общеобразовательное учреждение гимназия № 73 ""Ломоносовская гимназия"" Выборгского района Санкт-Петербурга","194354, Санкт-Петербург, пр.Энгельса, дом 115, корпус 2, лит.А",2014-02-17,78А01 № 0000422,78А01 № 0000429,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027801583370,7802112495
66,Государственное бюджетное общеобразовательное учреждение гимназия № 74 Выборгского района Санкт-Петербурга,"194018, Санкт-Петербург, Болотная улица, д.6, литер А",2014-02-17,78А01 № 0000355,78А01 № 0000426,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3331-р, 07.07.2015",,1027801583380,7802143567
67,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 76 Выборгского района Санкт-Петербурга,"194021, Санкт-Петербург, ул.Болотная, д.18, лит А",2013-01-16,78А01 № 0000499,78А01 № 0000578,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5088-р, 20.10.2015",,1027801583391,7802141224
68,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 83 с углубленным изучением японского и английского языков Выборгского района Санкт-Петербурга,"194352, Санкт-Петербург, Сиреневый бульвар, дом 18, корпус 2, литер А",2013-01-16,78А01 № 0000240,78А01 № 0000296,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2013-р, 27.04.2015",,1027801583688,7802143711
