№,Полное наименование образовательного учреждения (в соответствии с Уставом),Адрес,Дата принятия решения о выдаче свидетельства о государственной аккредитации,Реквизиты свидетельства о государственной аккредитации,Реквизиты приложения к свидетельству,Срок окончания действия свидетельства о государственной аккредитации,"Перечень аккредитованных программ, укрупненных групп направлений подготовки и специальностей",Основание и дата переоформления свидетельства о государственной аккредитации,Основание и дата приостановления и возобновления действия свидетельства о государственной аккредитации,ОГРН,ИНН
765,"Федеральное государственное бюджетное учреждение ""Санкт-Петербургский государственный академический художественный лицей им. Б.В. Иогансона при Российской академии художеств""","199106, Санкт-Петербург, ул. Детская д. 17 кор. 1",2014-06-02,78А01 № 0000389,78А01 № 0000460,Бессрочно,Основное общее образование; Среднее общее образование,"3720-р, 31.07.2015",,1037800033798,7801095007
766,"Санкт-Петербугрское государственное бюджетное профессиональное образовательное учреждение ""Академия промышленных технологий""","196654, город Санкт-Петербург, город Колпино, улица Труда, дом 1/7, литер А, кабинет 310",2021-02-12,78А01 № 0001009,78А01 № 0001037,Бессрочно,09.00.00 Информатика и вычислительная техника; 13.00.00 Электро- и теплоэнегетика; 15.00.00 Машиностроение; 18.00.00 Химические технологии; 22.00.00 Технологии материалов; 23.00.00 Техника и технологии наземного транспорта; 38.00.00 Экономика и управление; 40.00.00 Юриспруденция,,,1027808759440,7817012912
767,"Автономная некоммерческая профессиональная образовательная организация ""Санкт-Петербургский колледж туризма и предпринимательства""","Российская Федерация, 197110, Санкт-Петербург, улица Петрозаводская, дом 13, литер А",2014-12-10,78А01 № 0000845,78А01 № 0000853,Бессрочно,43.00.00 Сервис и туризм,"3325-р, 31.10.2017",,1037828035101,7813180909
768,"Санкт-Петербургское государственное бюджетное нетиповое образовательное учреждение ""Санкт-Петербургский музыкальный лицей""","191124, Санкт-Петербург, Ставропольская улица, дом 9, литера А",2015-02-26,78А01 № 0000749,78А01 № 0000748,Бессрочно,Основное общее образование; Среднее общее образование,"2043-р, 18.07.2016",,1037843105410,7825433400
769,"Частное общеобразовательное учреждение ""Школа ""Квадривиум""","191144, город Санкт-Петербург, улица 8-я Советская, 58, лит. А",2015-02-27,78А01 № 0001045,78А01 № 0001074,Бессрочно,Начальное общее образование,"2780-о, 05.10.2021",,1107800001924,7842014744
770,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургский техникум отраслевых технологий, финансов и права""","196070, Санкт-Петербург, ул. Бассейная, д.20",2015-04-02,78А01 № 0000927,78А01 № 0000945,Бессрочно,08.00.00 Техника и технологии строительства; 15.00.00 Машиностроение; 38.00.00 Экономика и управление; 40.00.00 Юриспруденция,"815-р, 10.03.2017; 823-р, 21.03.2019",,1027804891707,7810235910
771,Государственное бюджетное общеобразовательное учреждение школа-интернат №18 Невского района Санкт-Петербурга,"192174, Санкт-Петербург, улица Шелгунова, дом 5а, литер А",2015-02-27,78А01 № 0000748,78А01 № 0000747,Бессрочно,Начальное общее образование; Основное общее образование,"1837-р, 29.06.2016",,1027806082391,7811066943
772,"Частное образовательное учреждение ""Школа разговорных языков""","198255, Санкт-Петербург, проспект Ветеранов, дом 39, литера А, часть здания ч.п. 4, 15, 16, 18, 21-23, 25, 26, 32-34 (3-Н), ч.п. 1-9, 11, 17, 24, 25 (6-Н)",2015-02-04,78А01 № 0000782,78А01 № 0000790,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1089-р, 08.04.2016; 3858-р, 26.12.2016",,1027802756607,7805063366
773,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 376 Московского района Санкт-Петербурга,"196240, Санкт-Петербург, 5-й Предпортовый проезд, дом 8, корпус 2, литера А",2015-02-06,78А01 № 0000967,78А01 № 0000990,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3312-р, 08.11.2019",,1137847313009,7810450970
774,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 546 с углубленным изучением предметов художественно-эстетического цикла Красносельского района Санкт-Петербурга,"198332, Санкт-Петербург, Ленинский проспект, дом 80, корпус 2, литера А",2015-02-11,78А01 № 0000080,78А01 № 0000134,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027804606191,7807010225
775,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Реставрационный колледж ""Кировский""","198302, Санкт-Петербург, ул. Морской Пехоты, дом 14, лит.А",2015-12-29,78А01 № 0000785,78А01 № 0000793,Бессрочно,"35.00.00 Сельское, лесное и рыбное хозяйство; 54.00.00 Изобразительное и прикладные виды искусств","3850-р, 26.12.2016",,1157847036016,7805305350
776,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Реставрационный колледж ""Кировский""","198302, Санкт-Петербург, ул. Морской Пехоты, дом 14, лит.А",2015-12-29,78А01 № 0000689,78А01 № 0000670,Бессрочно,Основное общее образование,,,1157847036016,7805305350
777,Государственное бюджетное общеобразовательное учреждение школа № 627 Невского района Санкт-Петербурга,"193079, город Санкт-Петербург, ул. Новосёлов, д. 11, литер А",2015-12-29,78А01 № 0001044,78А01 № 0001073,Бессрочно,Начальное общее образование; Основное общее образование,"3581-р; 10.12.2019; 1987-р, 09.07.2021",,1147847001829,7811569383
778,Государственное бюджетное общеобразовательное учреждение начальная школа - детский сад № 696 Приморского района Санкт-Петербурга,"197372, Санкт-Петербург, Долгоозерная улица, дом 11, корпус 2, литера А",2015-05-14,78А01 № 0000273,78А01 № 0000337,Бессрочно,Начальное общее образование,,,1037832007553,7814031522
779,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 257 Пушкинского района Санкт-Петербурга,"196657, Санкт-Петербург, поселок Шушары, улица Волховская (Новая Ижора), дом 3, литер А",2015-05-14,78А01 № 0000665,78А01 № 0000645,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"5671-р, 30.11.2015",,1137847052419,7820331475
780,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Медицинский колледж № 2""","198205, Санкт-Петербург, ул. Чекистов, д.18",2015-06-15,78А01 № 0000617,78А01 № 0000378,Бессрочно,060000 Здравоохранение,,,1027804607241,7807007582
781,"Частное общеобразовательное учреждение ""ШКОЛА ""ЭВРИКА-ЛИЦЕЙ""","Российская Федерация, 197373, Санкт-Петербург, улица Долгоозерная, д.4, к. 3, лит. А",2014-03-07,78А01 № 0000770,78А01 № 0000776,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2818-р, 10.06.2015; 3415-р, 28.11.2016",,1037832008477,7814129341
782,"Федеральное государственное казенное общеобразовательное учреждение ""Санкт-Петербургское суворовское военное училище Министерства внутренних дел Российской Федерации""","198096, г. Санкт-Петербург, ул. Кронштадтская, 3, лит. А",2011-03-14,78А01 № 0000663,78А01 № 0000643,Бессрочно,Основное общее образование; Среднее общее образование,"5669-р, 30.11.2015",,1027802746828,7805272105
783,Государственное бюджетное общеобразовательное учреждение школа № 482 Выборгского района Санкт-Петербурга,"194362, Санкт-Петербург, Парголово, улица Федора Абрамова, дом 6",2015-12-29,78А01 № 0000694,78А01 № 0000675,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1157847088640,7802281214
784,Государственное бюджетное общеобразовательное учреждение школа № 645 Пушкинского района Санкт-Петербурга,"196634, Санкт-Петербург, поселок Шушары, Славянка, Ростовская улица, дом 23, корп. 2",2015-12-29,78А01 № 0000723,78А01 № 0000717,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"281-р, 04.02.2016; 1094-р, 08.04.2016",,1147847198091,7820337205
785,Государственное бюджетное общеобразовательное учреждение школа-интернат № 6 Красногвардейского района Санкт-Петербурга,"195248, Санкт-Петербург, улица Большая Пороховская, дом 52 литера А",2015-12-29,78А01 № 0001074,78А01 № 0001109,Бессрочно,Начальное общее образование; Основное общее образование,"464-р, 19.02.2019; 1338-р, 30.06.2022",,1027804187850,7806103974
786,Государственное бюджетное общеобразовательное учреждение школа № 604 Пушкинского района Санкт-Петербурга,"196634, Санкт-Петербург, поселок Шушары, Славянка, Изборская улица, дом 4, корпус 2",2015-12-29,78А01 № 0000692,78А01 № 0000673,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1147847199202,7820337212
787,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 547 Красносельского района Санкт-Петербурга,"198206, Санкт-Петербург, улица Адмирала Коновалова, дом 6, корпус 2",2016-04-25,78А01 № 0000733,78А01 № 0000724,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1147847043717,7807387768
788,"Частное общеобразовательное учреждение ""Академия""","197738, Санкт-Петербург, город Сестрорецк, улица Воскова, дом 4, литер А",2016-05-31,78А01 № 0000852,78А01 № 0000860,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"18-р, 09.01.2018; 1410-р, 21.07.2020",,1057811690122,7843301886
789,"Федеральное государственное бюджетное профессиональное образовательное учреждение ""Санкт-Петербургское специальное учебно-воспитательное учреждение закрытого типа""","196652, город Санкт-Петербург, город Колпино, улица Загородная, дом 63 литера А",2011-12-26,78А01 № 0001068,78А01 № 0001103,Бессрочно,Основное общее образование,"2082-р, 26.07.2016; 1064-р, 30.05.2022",,1027808757921,7817014300
790,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Академия танца Бориса Эйфмана""","197198, г. Санкт-Петербург, ул. Б.Пушкарская, д. 14, лит. Б",2020-05-06,78А01 № 0000985,78А01 № 0001012,Бессрочно,52.00.00 Сценические искусства и литературное творчество,,,1117847113009,7813498113
791,"Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение ""Академия танца Бориса Эйфмана""","197198, г. Санкт-Петербург, ул. Б.Пушкарская, д. 14, лит. Б",2016-06-29,78А01 № 0000747,78А01 № 0000746,Бессрочно,Начальное общее образование,,,1117847113009,7813498113
792,"Частное общеобразовательное учреждение ""Школа ""ДИПЛОМАТ""","191121, Санкт-Петербург, улица Мясная, дом 11",2015-02-04,78А01 № 0000762,78А01 № 0000765,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3032-р, 26.10.2016",,1037843056712,7816067242
793,"Частное образовательное учреждение средняя общеобразовательная школа ""Частная Школа Шостаковичей""","199004, Россйская Федерация, г. Санкт-Петербург, 6-я Линия В.О. Дом 15 лит.Д",2015-02-04,78А01 № 0000871,78А01 № 0000881,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3852-р, 26.12.2016; 1731-р, 06.06.2018",,1047800002513,7801255363
794,Государственное бюджетное общеобразовательное учреждение школа № 449 Пушкинского района Санкт-Петербурга,"196608, город Санкт-Петербург, г. Пушкин, ул.Ленинградская, д.2, литер А",2016-09-27,78А01 № 0001032,78А01 № 0001061,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3102-р, 29.10.2018; 1664-р, 02.06.2021",,1027809008974,7820020543
795,Государственное бюджетное общеобразовательное учреждение школа № 509 Красносельского района Санкт-Петербурга,"198206, Санкт-Петербург, улица Капитана Грищенко, дом 3, корпус 1",2016-12-26,78А01 № 0000779,78А01 № 0000787,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1147847543084,7807062382
796,"Частное образовательное учреждение ""Свято-Владимирская школа Воскресенского Новодевичьего монастыря""","196804, г. Санкт-Петербург, Московский проспект, дом 104, литера А",2017-04-19,78А01 № 0000815,78А01 № 0000824,Бессрочно,Начальное общее образование; Основное общее образование,,,1147800010115,7810241656
797,Государственное казенное специальное учебно-воспитательное учреждение школа № 2 (открытого типа) Санкт-Петербурга,"197341, Санкт-Петербург, улица Аккуратова, дом 11, литера А",2017-03-20,78А01 № 0000908,78А01 № 0000925,Бессрочно,Начальное общее образование; Основное общее образование,"3527-р, 13.12.2018",,1037841002396,7819022000
798,"Частное общеобразовательное учреждение школа ""Вундеркинд""","194362, г. Санкт-Петербург, вн.тер.г.поселок Парголово, ул Ключевая, д.7 а, литера А",2018-01-09,78А01 № 0001046,78А01 № 0001075,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3124-р, 24.11.2021",,1127800003605,7802290441
799,Государственное бюджетное общеобразовательное учреждение школа № 690 Невского района Санкт-Петербурга,"193149, Санкт-Петербург, Русановская улица, дом 15, корпус 2, литера А",2018-01-09,78А01 № 0000849,78А01 № 0000858,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1167847218098,7811609861
800,Государственное бюджетное общеобразовательное учреждение школа № 93 Пушкинского района Санкт-Петербурга,"196626, Санкт-Петербург, пос. Шушары Пушкинского района, улица Школьная, дом 19, лит. А",2018-01-09,78А01 № 0000850,78А01 № 0000857,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1147847205681,7820337251
801,"Федеральное государственное казенное общеобразовательное учреждение ""Санкт-Петербургский кадетский корпус Следственного комитета Российской Федерации""","190000, Российская Федерация, Санкт-Петербург, набережная реки Мойки, д.96",2018-07-03,78А01 № 0000949,78А01 № 0000969,Бессрочно,Основное общее образование; Среднее общее образование,"1758-р, 17.06.2019",,1177847116402,7838067567
802,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 100 Калининского района Санкт-Петербурга,"195271, город Санкт-Петербург, улица Бестужевская, дом 5, корпус 1 , литер А",2018-12-27,78А01 № 0001008,78А01 № 0001036,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"58-р, 22.01.2021",,1167847321861,7804573967
803,"Частное общеобразовательное учреждение ""Частная школа ЦОДИВ""","198323, город Санкт-Петербург, Красносельское шоссе (Грелово), дом 54, корпус 6, офис 4",2019-07-03,78А01 № 0000962,78А01 № 0000985,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1157800002964,7807084185
804,"Частное общеобразовательное учреждение ""Лицей ""САША""","196070, Россия, Санкт-Петербург, ул. Фрунзе, д. 6, лит.А, пом.11Н",2019-07-03,78А01 № 0000954,78А01 № 0000977,Бессрочно,Начальное общее образование,,,1027804874965,7810383428
