Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
15.009,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"Санкт-Петербург, ул. Савушкина, д. 107","Ул. Савушкина, д. 107","59.985485,30.240465","М. Беговая, м. Старая деревня",Приморский,2400169,Https://vk.com/club23559959,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,True,False,False,False,,Внутридворовое
15.010,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"ул. Камышовая, д. 42","Ул. Камышовая, д. 42","60.008385,30.217839",М. Комендантский проспект,Приморский,2400169,Https://vk.com/public207871034,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,True,False,False,False,,Отсутствует
15.011,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"Санкт-Петербург, ул. Яхтенная, д. 6","Ул. Яхтенная, д. 6","59.986225,30.21316",М. Беговая,Приморский,2400169,Https://vk.com/savushkina122,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Внутридворовое
15.012,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"Санкт-Петербург, ул. Савушкина, д. 122","Ул. Савушкина, д. 122","59.987039,30.210357",М. Беговая,Приморский,2400169,Https://vk.com/savushkina122,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Внутридворовое
15.013,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"Санкт-Петербург, ул. Байконурская, д. 5","Ул. Байконурская, д. 5","59.987066,30.210492",М. Пионерская,Приморский,2400169,Https://vk.com/katok105,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,True,False,False,False,,Внутридворовое
15.014,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"Санкт-Петербург, пр. Королёва, д.59","Пр. Королёва, д.59","60.028456,30.247838",М. Комендантский проспект,Приморский,2400169,,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Внутридворовое
15.015,"СПб ГБУ ""Центр спорта Приморского района""",Коньки,Каток,"Санкт-Петербург, Комендантский пр., д. 37","Комендантский пр., д. 37","60.024396,30.242701",М. Комендантский проспект,Приморский,2400169,Https://vk.com/rink_on_shavrova_21,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Внутридворовое
15.016,"СПб ГБУ ""Центр спорта Приморского района"" (земельный участок принадлежит Комитету по благоустройству)",Лыжи,Лыжная трасса,"Санкт-Петербург, Коломяжский, д. 17 к.2",Удельный парк,"60.006685,30.308167",М. Удельная,Приморский,2400169,,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Парковое
15.017,"СПб ГБУ ""Центр спорта Приморского района"" (земельный участок принадлежит Комитету по благоустройству)",Лыжи,Лыжная трасса,"Санкт-Петербург, Приморский пр., д. 72",Парк 300-летия Санкт-Петербурга,"59.983728,30.201812",М. Беговая,Приморский,2400169,,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Парковое
15.018,"СПб ГБУ ""Центр спорта Приморского района"" (земельный участок принадлежит СПб ГКУ ""Дирекция особо охраняемых природных территорий Санкт-Петербурга""",Лыжи,Лыжная трасса,"Санкт-Петербург, Приморское шоссе, 4, лит.А",Комплексный государственный природный заказник «Северное побережье Невской губы»,"59.993016,30.096974",Жд станция Ольгино,Приморский,2400169,,Работа объекта приостановлена до ноября 2023 г.,9.00-22.00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Отсутствует
15.019,"Школа хоккея ""Метеор""",Хоккей,Каток,"Санкт-Петербург, Красногвардейский пер., д.15, лит. Д","Хоккейный клуб ""Метеор""","59.981926,30.325383",М. Черная речка,Приморский,614-50-47,Https://smartspace.spb.ru/,Работающий,6.00-23.00,День,Закрытый,Платно,Нет,True,True,True,False,True,,Имеется
15.020,СПб ГБУ СШОР фигурного катания на коньках,"Фигурное катание, массовое катание",Каток,"Санкт-Петербург, Туполевская ул., д.4",СПб ГБУ СШОР фигурного катания на коньках,"60.003223,30.263304",М. Комендантский проспект,Приморский,342-65-40,Https://figure-skate.ru/,Работающий,Вс с 14:00 -22:15,День,Закрытый,Платно,"Нарушение слуха, нарушение зрения, интеллектуаьные нарушения, частично доступно",True,True,True,True,True,,Имеется
15.021,"СПб ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""","Хоккей, шорт-трек, танцы на льду",Каток,"Санкт-Петербург, ул. Мебельная 33, лит.А","СПб ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""","59.994209,30.205264",М. Беговая,Приморский,350-78-69,Http://school-internat576.ru/,Работающий,Круглосуточно,Круглосуточно,Закрытый,"Только для обучающихся ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""",Нет,False,False,True,False,False,,Имеется
15.022,"СПб ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""","Хоккей, шорт-трек, танцы на льду",Каток,"Санкт-Петербург, Маршала Новикова, д.14","СПб ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""","60.017419,30.269259",М. Комендантский проспект,Приморский,350-78-69,Http://school-internat576.ru/,Работающий,Круглосуточно,Круглосуточно,Закрытый,"Только для обучающихся ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""",Нет,False,False,True,False,False,,Имеется
15.023,СПб ГБОУ школа № 45 Приморского района,"Хоккей, катание на коньках",Каток,"Санкт-Петербург, Маршала Новикова, д.8, к.2",СПб ГБОУ школа № 45 Приморского района,"60.01227,30.265905",М. Комендантский проспект,Приморский,395-26-91,Http://sckola45.spb.ru/,Работа объекта приостановлена до ноября 2023 г.,В часы работы образовательной оргнаизации,День,Открытый,Только для обучающихся школы 45,Нет,False,False,True,False,False,,Имеется
15.024,СПб ГБОУ школа № 440 Приморского района,"Хоккей, катание на коньках",Каток,"Санкт-Петербург, ул. Хвойная, д.35",СПб ГБОУ школа № 440 Приморского района,"60.000832,30.138505",М. Беговая,Приморский,417-62-42,Http://xn--440-5cd3cgu2f.xn--p1ai/,Работа объекта приостановлена до ноября 2023 г.,10:00-22:00,День,Открытый,Бесплатно,Нет,False,False,False,False,False,,Имеется
15.025,СПб ГБОУ школа № 438 Приморского района,"Хоккей, катание на коньках",Каток,"Санкт-Петербург, посёлок Лисий Нос, Новоцентральная ул., д.21",СПб ГБОУ школа № 438 Приморского района,"60.009511,30.006075",М. Беговая,Приморский,417-31-57,Https://school438.ru/,Работа объекта приостановлена до ноября 2023 г.,В часы работы образовательной организации,День,Открытый,Только для обучающихся школы 438,Нет,False,False,True,False,False,,Имеется
15.026,СПб ГБОУ школа № 555 Приморского района,"Хоккей, катание на коньках",Каток,"Санкт-Петербург, Комендантский пр. д.17, корп.3",СПб ГБОУ школа № 555 Приморского района,"60.012874,30.260031",М. Комендантский проспект,Приморский,348-85-80,Http://555school.spb.ru/,Работа объекта приостановлена до ноября 2023 г.,В часы работы образовательной оргнаизации,День,Открытый,Только для обучающихся школы 555,Нет,False,False,True,False,False,,Имеется
15.027,СПб ГБОУ школа № 634 Приморского района,"Хоккей, катание на коньках",Каток,"Санкт-Петербург, Щербакова ул., д.16, лит.А",СПб ГБОУ школа № 634 Приморского района,"60.026329,30.291177",М. Удельная,Приморский,241-31-04,Http://school634.com/,Работа объекта приостановлена до ноября 2023 г.,В часы работы образовательной оргнаизации,День,Открытый,Только для обучающихся школы 634,Нет,False,False,True,False,False,,Имеется
15.028,Каток на Сабировской,"Хоккей, фигурное катание",Каток,"Санкт-Петербург, ул. Сабировская, д.37",Каток на Сабировской,"59.989081,30.284326",М. Старая Деревня,Приморский,7(921)-385-12-60,Https://ice-profy.ru/o-shkole/ledovye-ploshhadki/katok-na-sabirovskoj-37/,Работающий,07:00-00:00,День,Закрытый,Массового катания нет,Нет,False,False,True,False,False,,Имеется
15.029,Каток в Континенте,Коньки,Каток,"Санкт-Петербург, ул. Байконурская, д. 14, лит. А.","ТРК ""Континент""","60.001973,30.272187","М. Комендантский проспект, м. Пионерская",Приморский,904-38-35,Https://ba.trkcontinent.ru/entertaintment/igrovaya-zona/katok-v-kontinente/,Работающий,10.00-21.45,День,Закрытый,Платно,Нет,True,True,True,True,True,,Имеется
15.030,"ООО ""Стрела"" каток ""Богатырь""",Коньки,Каток,"Санкт-Петербург, ул. Гаккелевская, д. 23","Гаккелевская ул., д.23, угол Гаккелевской ул. И Богатырского проспекта","60.001428,30.25881",М. Комендантский проспект,Приморский,8(999)232-87-87,Https://ice-bogatyr.ru/,Работающий,11:00-23:00,День,Открытый,Платно,Есть,True,True,True,True,True,,Имеется
16.001,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Павловск, Горная улица, дом 14, литера А",,"59.6646556,30.4105399",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Доступен,False,True,False,False,False,,Имеется
16.002,"СПб ГБУ ЦФКСЗ ""Царское Село""","Хоккей, катание на коньках",Каток,"город Пушкин, Ленинградская улица, дом 36, литера А",,"59.7291316,30.4080516",М. Купчино,Пушкинский,8(812)4766811,Https://cfkcs.ru/ https://vk.com/cfkcsnews,Работа объекта приостановлена до ноября 2023,Круглосуточно,День и ночь,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
