№ автостоянки,Адрес,Тип автостоянки,Количество машиномест,"Площадь участка, м2",Район города,Ближайшая станция метро,Условия использования,Координаты
40,"Санкт-Петербург, Ковенский переулок (от ул. Маяковского до Лиговского пр.)",Зона платной парковки,116,1537,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1115. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.937317,30.359368"
41,"Санкт-Петербург, Лиговский проспект (от ул. Некрасова до Невского пр.)",Зона платной парковки,82,1086.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1127. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.935046,30.363697"
42,"Санкт-Петербург, Литейный проспект (от Кирочной ул. до Невского пр.)",Зона платной парковки,210,2782.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1121. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.939164,30.348306"
43,"Санкт-Петербург, Манежный переулок (от Преображенской пл. до ул. Восстания)",Зона платной парковки,95,1258.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1104. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.943203,30.356477"
44,"Санкт-Петербург, Моховая улица (от ул. Пестеля до пл. Белинского)",Зона платной парковки,136,1802,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1120. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.942107,30.345252"
45,"Санкт-Петербург, Митавский переулок (от Саперного пер. до ул. Восстания)",Зона платной парковки,10,132.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1109. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.940283,30.359037"
46,"Санкт-Петербург, набережная реки Фонтанки, четная сторона (от ул. Белинского до Невского пр.)",Зона платной парковки,63,834.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1119. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.937149,30.344178"
47,"Санкт-Петербург, Озерной переулок (от ул. Восстания до Лиговского пр.)",Зона платной парковки,47,622.75,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1114. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.938012,30.362907"
48,"Санкт-Петербург, переулок Ульяны Громовой (от ул. Восстания до Лиговского пр.)",Зона платной парковки,28,371,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1118. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.934201,30.361776"
49,"Санкт-Петербург, Преображенская площадь (на пересечении ул. Пестеля, ул. Короленко, ул. Рылеева, Мошкова пер. и пер. Радищева)",Зона платной парковки,182,2411.5,Центральный,Чернышевская / Площадь Восстания / Маяковская,"Зона платной парковки № 1102. Пн-Вс, 08:00 - 20:00. Оплата в течение 15 минут. Категории А и М - 30 руб./час, Категория В - 60 руб./час, Категория С - 120 руб./час. Сайт: www.parking.spb.ru Телефон: +7 (812) 417-50-00","59.943182,30.35144"
